sexo,edad,lengua_materna,identificacion_etnic,nacionalidad_indigena,provincia_labora,canton_labora,jurisdiccion_labora,Fecha registro,RMU,Modalidad laboral,Estado,Carrera,Título,Nivel
MUJER,38,"ESPAÑOL, SHUAR CHICHAM",INDIGENA,SHUAR,PASTAZA,ARAJUNO,BILINGUE,03/21/2024,817,NOMBRAMIENTO,NOMBRAMIENTO PROVISIONAL,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
HOMBRE,30,KICHWA,INDIGENA,KICHWA,ORELLANA,ORELLANA,BILINGUE,0,527,NOMBRAMIENTO,NOMBRAMIENTO PROVISIONAL,EIB,0,Sin título
MUJER,31,KICHWA,INDIGENA,KICHWA,ORELLANA,LA JOYA DE LOS SACHAS,BILINGUE,0,527,NOMBRAMIENTO,NOMBRAMIENTO PROVISIONAL,EIB,0,Sin título
MUJER,32,KICHWA,INDIGENA,ZÁPARA,PASTAZA,PASTAZA,HISPANO,0,527,NOMBRAMIENTO,NOMBRAMIENTO PROVISIONAL,EB,0,Sin título
HOMBRE,34,"KICHWA, ESPAÑOL",INDIGENA,KICHWA,NAPO,TENA,HISPANO,07/26/2014,817,CONTRATOS OCASIONALES,ACTIVO,EB,PROFESOR EN EDUCACION BASICA,Tercer Nivel Técnico o Tecnólogo
HOMBRE,57,KICHWA,INDIGENA,KICHWA,ORELLANA,ORELLANA,HISPANO,0,675,CONTRATOS OCASIONALES,ACTIVO,EB,0,Sin título
HOMBRE,42,"KICHWA, ESPAÑOL",INDIGENA,KICHWA,NAPO,TENA,HISPANO,03/21/2024,817,CONTRATOS OCASIONALES,ACTIVO,EB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION BASICA,Tercer Nivel Grado
MUJER,48,KICHWA,INDIGENA,KICHWA,PASTAZA,ARAJUNO,BILINGUE,08/28/2015,817,CONTRATOS OCASIONALES,ACTIVO,EIB,PROFESOR DE EDUCACION BASICA INTERCULTURAL BILINGÜE- NIVEL TECNOLOGICO,Tercer Nivel Técnico o Tecnólogo
MUJER,38,KICHWA,INDIGENA,KICHWA,ORELLANA,ORELLANA,BILINGUE,08/27/2015,817,CONTRATOS OCASIONALES,ACTIVO,EIB,PROFESOR DE EDUCACION INFANTIL COMUNITARIA- TECNOLOGO,Tercer Nivel Técnico o Tecnólogo
HOMBRE,38,ESPAÑOL,INDIGENA,KICHWA,NAPO,TENA,BILINGUE,03/21/2024,675,CONTRATOS OCASIONALES,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
HOMBRE,43,SHUAR CHICHAM,INDIGENA,SHUAR,MORONA SANTIAGO,TAISHA,BILINGUE,0,527,NOMBRAMIENTO,NOMBRAMIENTO PROVISIONAL,EIB,0,Sin título
MUJER,34,KICHWA,INDIGENA,KICHWA,ORELLANA,ORELLANA,BILINGUE,0,675,CONTRATOS OCASIONALES,ACTIVO,EIB,0,Sin título
HOMBRE,46,KICHWA,INDIGENA,KICHWA,ORELLANA,ORELLANA,BILINGUE,02/25/2011,817,CONTRATOS OCASIONALES,ACTIVO,EIB,PROFESOR DE EDUCACION BASICA INTERCULTURAL BILINGÜE NIVEL TECNOLOGICO,Tercer Nivel Técnico o Tecnólogo
MUJER,35,KICHWA,INDIGENA,KICHWA,ORELLANA,ORELLANA,BILINGUE,07/23/2014,817,CONTRATOS OCASIONALES,ACTIVO,EIB,PROFESOR DE EDUCACION BASICA INTERCULTURAL BILINGÜE- NIVEL TECNOLOGICO,Tercer Nivel Técnico o Tecnólogo
MUJER,30,ESPAÑOL,INDIGENA,KICHWA,ORELLANA,ORELLANA,BILINGUE,07/18/2023,527,NOMBRAMIENTO,NOMBRAMIENTO PROVISIONAL,EIB,TECNOLOGO SUPERIOR EN MARKETING,Tercer Nivel Técnico o Tecnólogo
HOMBRE,38,KICHWA,INDIGENA,KICHWA,NAPO,TENA,BILINGUE,09/06/2016,986,NOMBRAMIENTO,ACTIVO,EIB,PROFESOR DE EDUCACION BASICA INTERCULTURAL BILINGÜE - NIVEL TECNOLOGICO,Tercer Nivel Técnico o Tecnólogo
HOMBRE,36,KICHWA,INDIGENA,KICHWA,PASTAZA,PASTAZA,HISPANO,0,-,-,-,EB,0,Sin título
HOMBRE,32,SHUAR CHICHAM,INDIGENA,SHUAR,MORONA SANTIAGO,TAISHA,BILINGUE,0,675,CONTRATOS OCASIONALES,ACTIVO,EIB,0,Sin título
MUJER,31,KICHWA,INDIGENA,KICHWA,NAPO,EL CHACO,HISPANO,0,527,NOMBRAMIENTO,NOMBRAMIENTO PROVISIONAL,EB,0,Sin título
MUJER,37,KICHWA,INDIGENA,KICHWA,ORELLANA,AGUARICO,BILINGUE,0,527,NOMBRAMIENTO,NOMBRAMIENTO PROVISIONAL,EIB,0,Sin título
HOMBRE,35,KICHWA,INDIGENA,KICHWA,ORELLANA,ORELLANA,BILINGUE,07/26/2014,817,CONTRATOS OCASIONALES,ACTIVO,EIB,PROFESOR EN EDUCACION BASICA,Tercer Nivel Técnico o Tecnólogo
HOMBRE,29,KICHWA,INDIGENA,KICHWA,ORELLANA,LORETO,HISPANO,03/21/2024,675,CONTRATOS OCASIONALES,ACTIVO,EB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION BASICA,Tercer Nivel Grado
